6529957519,577,22,0,10,1650251862,True,64,15,74,93,114,41,112,75,14,35
6529954761,1053,23,0,10,1650251598,True,45,76,93,86,64,14,13,85,36,81
6529954309,625,22,7,10,1650251551,False,129,22,81,112,45,14,46,70,9,3
6529952147,1194,23,0,10,1650251339,False,99,69,27,36,42,111,123,72,28,44
6529951878,1165,23,0,10,1650251318,True,56,64,49,6,123,21,128,14,107,75
6529950552,1392,22,0,10,1650251194,True,35,81,76,59,37,58,32,21,104,110
6529950132,1220,23,0,10,1650251152,True,2,123,14,58,50,25,111,84,12,34
6529949642,1467,13,14,2,1650251112,True,14,2,22,42,8,37,29,5,35,21
6529949582,1360,23,0,10,1650251101,False,11,51,44,62,14,81,35,39,71,94
6529949373,1595,22,7,10,1650251049,False,39,41,74,26,14,6,27,48,90,104
6529948791,1155,23,0,10,1650251013,True,94,9,6,84,27,11,32,86,39,1
6529948601,1476,23,0,10,1650251003,True,63,99,27,14,19,137,111,85,36,6
6529948494,1298,23,0,10,1650250997,True,50,113,83,71,44,42,90,91,123,93
6529948376,1620,22,7,10,1650250951,True,29,36,82,44,31,47,71,1,2,68
6529948317,1527,23,0,10,1650250982,False,19,126,85,120,62,14,65,76,20,54
6529947519,1219,22,7,10,1650250899,False,136,126,26,96,46,81,57,43,16,107
6529947379,1162,23,0,10,1650250873,True,41,98,59,83,81,101,112,114,53,64
6529947085,1639,23,0,10,1650250858,False,86,26,50,2,75,84,67,30,22,21
6529947027,1461,23,0,10,1650250843,True,28,3,35,51,90,123,4,99,84,68
6529947011,1554,22,7,10,1650250852,True,35,99,89,27,83,104,34,12,126,31
6529946933,1789,22,7,10,1650250837,False,27,12,107,63,16,111,88,137,35,40
6529946854,1709,22,7,10,1650250800,True,100,13,43,93,36,5,94,90,17,19
6529946579,1789,23,0,10,1650250805,False,71,52,13,10,105,84,94,39,74,14
6529946489,1811,22,7,10,1650250780,True,129,114,64,9,35,8,30,74,105,2
6529946352,1375,23,0,10,1650250791,False,86,29,51,71,17,16,35,30,11,44
6529946213,1625,22,7,10,1650250764,True,32,45,121,38,35,106,7,12,81,10
6529945999,1899,23,0,10,1650250729,True,42,62,68,34,70,11,75,35,44,21
6529945848,1782,23,0,10,1650250733,True,35,2,87,68,119,30,66,8,40,6
6529945793,1477,23,0,10,1650250728,False,76,128,15,97,39,47,75,44,36,13
6529945582,1844,22,7,10,1650250718,False,75,64,25,62,1,71,110,39,45,8
6529945431,1633,22,7,10,1650250697,False,86,49,35,106,67,46,64,36,129,45
6529945182,1552,23,0,10,1650250682,True,120,50,14,64,44,106,12,31,52,7
6529945062,1522,23,0,10,1650250656,True,119,21,63,103,86,6,14,136,104,105
6529945044,1878,23,0,10,1650250656,False,17,2,16,104,101,30,79,93,62,5
6529944788,1468,22,7,10,1650250630,False,100,98,14,73,41,70,68,19,81,16
6529944780,1419,22,0,10,1650250630,True,93,98,64,59,19,44,105,91,2,36
6529944723,1086,22,0,10,1650250630,False,46,83,68,69,59,15,97,86,80,31
6529944643,1883,22,7,10,1650250619,True,18,126,102,128,84,114,42,136,8,101
6529944565,1393,23,0,10,1650250614,False,68,74,110,23,94,8,135,50,84,19
6529944445,1710,23,0,10,1650250604,True,45,79,56,70,88,14,6,75,129,101
6529944436,1882,22,7,10,1650250604,True,55,100,64,110,93,14,39,135,114,27
6529944385,1593,22,7,10,1650250604,True,36,100,74,121,44,69,84,128,48,9
6529944273,2058,22,7,10,1650250578,False,26,49,108,27,35,97,36,8,45,14
6529944193,1218,23,0,10,1650250578,False,55,114,45,72,36,54,126,29,98,13
6529944109,1980,23,0,10,1650250577,False,123,74,106,53,48,42,75,20,112,102
6529943755,1699,22,7,10,1650250511,False,36,19,71,30,44,48,10,43,86,84
6529943744,1540,22,7,10,1650250537,False,91,99,74,70,112,43,19,51,31,21
6529943734,2084,22,0,10,1650250541,False,105,43,70,84,9,121,13,35,41,100
6529943712,1705,22,7,10,1650250532,True,99,75,47,25,44,10,123,26,59,49
6529943539,1466,23,0,10,1650250521,False,83,34,110,14,6,45,84,93,36,67
6529943398,2057,22,0,10,1650250495,False,21,44,4,23,95,81,11,26,2,74
6529943328,2071,22,7,10,1650250500,True,74,8,31,114,120,23,45,129,86,44
6529943270,2119,22,7,10,1650250495,False,14,4,46,21,39,49,40,84,13,72
6529943231,1847,22,7,10,1650250485,True,64,19,35,14,45,9,11,84,16,93
6529943230,2065,4,0,10,1650250479,False,1,21,18,103,104,126,64,15,89,86
6529943196,1085,23,0,10,1650250484,True,9,37,29,85,82,71,8,36,22,42
6529943052,956,23,0,10,1650250464,True,110,75,31,123,36,5,94,99,91,74
6529942965,1615,22,7,10,1650250464,True,44,86,111,71,59,72,91,128,114,129
