6526364769,1042,23,10,1650064714,21,50,True,81,32,54,22,30,44,17,101,33,43
6526364110,732,22,10,1650064659,21,50,False,71,1,85,121,13,86,8,105,137,31
6526364080,1019,23,10,1650064647,21,50,True,13,74,45,54,31,14,26,42,76,27
6526363376,878,23,10,1650064590,21,50,True,36,74,19,26,35,32,13,57,25,61
6526363343,1175,23,10,1650064575,21,50,False,11,35,79,94,99,120,6,68,84,55
6526361490,1295,23,10,1650064420,21,50,False,99,91,55,71,9,1,14,58,33,10
6526361149,1265,23,10,1650064390,21,50,True,9,16,6,51,26,30,114,59,14,44
6526360751,1274,22,10,1650064347,21,50,True,54,46,16,91,17,81,90,79,41,10
6526360457,1086,23,10,1650064322,21,50,True,105,81,96,119,35,20,53,69,101,46
6526360200,1321,4,10,1650064290,21,50,True,61,137,20,110,12,101,48,69,26,67
6526360096,1413,22,10,1650064275,21,50,False,48,60,20,111,59,42,61,123,7,64
6526360065,1313,22,10,1650064281,21,50,False,76,53,19,121,46,64,109,5,25,104
6526359922,1183,23,10,1650064275,21,50,False,105,74,40,119,99,35,32,50,101,20
6526359799,1181,23,10,1650064228,21,50,False,137,105,94,26,14,83,36,17,84,6
6526359679,1149,23,10,1650064249,21,50,False,63,14,136,9,45,23,77,101,55,97
6526359364,1228,23,10,1650064212,21,50,False,21,67,31,26,43,53,41,68,84,71
6526359275,1186,23,10,1650064212,21,50,True,94,12,100,101,1,128,119,120,35,88
6526359103,1499,23,10,1650064192,21,50,False,100,94,30,2,41,86,15,84,54,75
6526359090,1181,23,10,1650064197,21,50,False,35,48,14,90,105,84,129,74,80,31
6526358983,1319,22,10,1650064172,21,50,False,26,2,45,59,42,7,35,68,36,14
6526358930,940,23,10,1650064182,21,50,False,84,120,48,14,107,20,35,137,6,7
6526358874,1595,23,10,1650064176,21,50,False,39,42,126,25,68,44,102,40,57,91
6526358812,1455,4,10,1650064171,21,50,True,18,90,3,51,62,106,126,107,112,17
6526358596,1207,23,10,1650064151,21,50,False,35,62,99,26,94,38,9,58,86,18
6526357996,1598,23,10,1650064094,21,50,True,76,119,67,121,104,106,99,105,2,84
6526357941,1651,23,10,1650064093,21,50,False,37,83,54,75,137,56,11,64,100,135
6526357745,1584,23,10,1650064073,21,50,True,56,65,29,54,86,74,90,35,19,25
6526357519,1397,23,10,1650064053,21,50,True,79,110,75,2,41,89,100,74,20,7
6526357423,1016,22,10,1650064043,21,50,False,45,7,121,42,58,86,23,69,8,31
6526357394,1487,22,10,1650064043,21,50,False,119,26,55,43,94,19,35,14,105,121
6526357383,1337,22,10,1650064042,21,50,False,90,45,64,70,120,101,43,54,137,86
6526357316,1609,22,10,1650064026,21,50,True,137,20,75,104,6,8,2,46,43,50
